year,quarter,tickersymbol,value,code
2018,1,AAA,1298291954567.0000,10
2018,1,AAA,1150432871108.0000,21
2018,1,AAA,147525799357.0000,30
2018,1,AAA,60009995230.0000,70
2018,1,AAA,49238222361.0000,72
2018,1,AAA,427747817583.0000,1100
2018,1,AAA,30000000000.0000,1200
2018,1,AAA,1101805581424.0000,1300
2018,1,AAA,728011904178.0000,1400
2018,1,AAA,2135393276192.0000,3100
2018,1,AAA,1512942801711.0000,4100
2018,1,AAA,835999880000.0000,4110
2018,1,AAM,59919520052.0000,10
2018,1,AAM,46965143784.0000,21
2018,1,AAM,11327296062.0000,30
2018,1,AAM,2729838189.0000,70
2018,1,AAM,2729838189.0000,72
2018,1,AAM,37096421529.0000,1100
2018,1,AAM,87447459920.0000,1200
2018,1,AAM,51990348261.0000,1300
2018,1,AAM,17717813745.0000,1400
2018,1,AAM,11697219444.0000,3100
2018,1,AAM,238688990294.0000,4100
2018,1,AAM,126358400000.0000,4110
2018,1,AAV,31550633334.0000,10
2018,1,AAV,25576725362.0000,21
2018,1,AAV,5973907972.0000,30
2018,1,AAV,2461963501.0000,70
2018,1,AAV,2160940985.0000,72
2018,1,AAV,3606431177.0000,1100
2018,1,AAV,62772083.0000,1200
2018,1,AAV,94905379261.0000,1300
2018,1,AAV,26562653318.0000,1400
2018,1,AAV,128257766809.0000,3100
2018,1,AAV,168574516827.0000,4100
2018,1,AAV,125000000000.0000,4110
2018,1,ABC,236558321514.0000,10
2018,1,ABC,231666965463.0000,21
2018,1,ABC,4891356051.0000,30
2018,1,ABC,2698963590.0000,70
2018,1,ABC,2669287806.0000,72
2018,1,ABC,99311467361.0000,1100
2018,1,ABC,360948846527.0000,1200
2018,1,ABC,167088182415.0000,1300
2018,1,ABC,51979052972.0000,1400
2018,1,ABC,169542187835.0000,3100
2018,1,ABC,547680883605.0000,4100
2018,1,ABC,203930000000.0000,4110
2018,1,ABS,130098313086.0000,10
2018,1,ABS,122549006644.0000,21
2018,1,ABS,7549306442.0000,30
2018,1,ABS,1630918565.0000,70
2018,1,ABS,1630918565.0000,72
2018,1,ABT,91112005309.0000,10
2018,1,ABT,72637185874.0000,21
2018,1,ABT,16729647960.0000,30
2018,1,ABT,9008604100.0000,70
2018,1,ABT,9008604100.0000,72
2018,1,ABT,35447941658.0000,1100
2018,1,ABT,160217151855.0000,1200
2018,1,ABT,67642450459.0000,1300
2018,1,ABT,98576879392.0000,1400
2018,1,ABT,225874520076.0000,3100
2018,1,ABT,401633553424.0000,4100
2018,1,ABT,141072070000.0000,4110
2018,1,ACC,96127954523.0000,10
2018,1,ACC,76195252457.0000,21
2018,1,ACC,19932702066.0000,30
2018,1,ACC,8693901740.0000,70
2018,1,ACC,7984774787.0000,72
2018,1,ACC,43076320195.0000,1100
2018,1,ACC,109354850834.0000,1300
2018,1,ACC,132784171238.0000,1400
2018,1,ACC,128129412985.0000,3100
2018,1,ACC,230971673540.0000,4100
2018,1,ACC,100000000000.0000,4110
2018,1,ACL,332334226430.0000,10
2018,1,ACL,286901512544.0000,21
2018,1,ACL,45174159436.0000,30
2018,1,ACL,5892179433.0000,70
2018,1,ACL,5892179433.0000,72
2018,1,ACL,121794425568.0000,1100
2018,1,ACL,273151899394.0000,1300
2018,1,ACL,347338501507.0000,1400
2018,1,ACL,779042628775.0000,3100
2018,1,ACL,379869927609.0000,4100
2018,1,ACL,227996750000.0000,4110
2018,1,ACM,1304628000.0000,10
2018,1,ACM,1121323674.0000,21
2018,1,ACM,183304326.0000,30
2018,1,ACM,-2483966581.0000,70
2018,1,ACM,-2483966581.0000,72
2018,1,ACM,12892732579.0000,1100
2018,1,ACM,113332242400.0000,1300
2018,1,ACM,114265928873.0000,1400
2018,1,ACM,84416627740.0000,3100
2018,1,ACM,509302039750.0000,4100
2018,1,ACM,510000000000.0000,4110
2018,1,ACV,3936908829879.0000,10
2018,1,ACV,1922602645183.0000,21
2018,1,ACV,2008981073260.0000,30
2018,1,ACV,974905211409.0000,70
2018,1,ACV,972139007398.0000,72
2018,1,ACV,1303000160302.0000,1100
2018,1,ACV,18823400000000.0000,1200
2018,1,ACV,7409911400287.0000,1300
2018,1,ACV,386279296703.0000,1400
2018,1,ACV,6883278718624.0000,3100
2018,1,ACV,28351527990408.0000,4100
2018,1,ACV,21771732360000.0000,4110
2018,1,ADC,58586008366.0000,10
2018,1,ADC,33011639518.0000,21
2018,1,ADC,25574368848.0000,30
2018,1,ADC,1759956431.0000,70
2018,1,ADC,1759956431.0000,72
2018,1,ADC,40501090693.0000,1100
2018,1,ADC,750000000.0000,1200
2018,1,ADC,20772814322.0000,1300
2018,1,ADC,12108887460.0000,1400
2018,1,ADC,54654450257.0000,3100
2018,1,ADC,50839117188.0000,4100
2018,1,ADC,30600000000.0000,4110
2018,1,ADP,131365890348.0000,10
2018,1,ADP,108542723635.0000,21
2018,1,ADP,22436466155.0000,30
2018,1,ADP,8745252554.0000,70
2018,1,ADP,8745252554.0000,72
2018,1,ADP,38790521985.0000,1100
2018,1,ADP,20000000000.0000,1200
2018,1,ADP,57636735293.0000,1300
2018,1,ADP,67138565873.0000,1400
2018,1,ADP,70972410082.0000,3100
2018,1,ADP,226279771983.0000,4100
2018,1,ADP,153599140000.0000,4110
2018,1,ADS,367766900086.0000,10
2018,1,ADS,337099928441.0000,21
2018,1,ADS,30666971645.0000,30
2018,1,ADS,16204244129.0000,70
2018,1,ADS,16204244129.0000,72
2018,1,ADS,57858877402.0000,1100
2018,1,ADS,334054946631.0000,1200
2018,1,ADS,476376268617.0000,1300
2018,1,ADS,342665675743.0000,1400
2018,1,ADS,1116041381084.0000,3100
2018,1,ADS,409780771693.0000,4100
2018,1,ADS,255178010000.0000,4110
2018,1,AFX,123724097510.0000,10
2018,1,AFX,119159026755.0000,21
2018,1,AFX,2095369761.0000,30
2018,1,AFX,-5795476131.0000,70
2018,1,AFX,-5795476131.0000,72
2018,1,AFX,53649423000.0000,1100
2018,1,AFX,41441366000.0000,1300
2018,1,AFX,230505603000.0000,1400
2018,1,AFX,136729059000.0000,3100
2018,1,AFX,365453302000.0000,4100
2018,1,AFX,350000000000.0000,4110
2018,1,AGF,303673926521.0000,10
2018,1,AGF,328339021258.0000,21
2018,1,AGF,-25365516540.0000,30
2018,1,AGF,-69162980528.0000,70
2018,1,AGF,-69162980528.0000,72
2018,1,AGF,22794911009.0000,1100
2018,1,AGF,14000000000.0000,1200
2018,1,AGF,851966142535.0000,1300
2018,1,AGF,181651021830.0000,1400
2018,1,AGF,1014590406540.0000,3100
2018,1,AGF,435937531749.0000,4100
2018,1,AGF,281097430000.0000,4110
2018,1,AGM,596747164466.0000,10
2018,1,AGM,560801190285.0000,21
2018,1,AGM,35652342510.0000,30
2018,1,AGM,3237130044.0000,70
2018,1,AGM,3237130044.0000,72
2018,1,AGM,251222936334.0000,1100
2018,1,AGM,60461111163.0000,1300
2018,1,AGM,298628153902.0000,1400
2018,1,AGM,404421077164.0000,3100
2018,1,AGM,363315646077.0000,4100
2018,1,AGM,182000000000.0000,4110
2018,1,ALT,35704408309.0000,10
2018,1,ALT,30028287572.0000,21
2018,1,ALT,5675520737.0000,30
2018,1,ALT,1135475191.0000,70
2018,1,ALT,1135475191.0000,72
2018,1,ALT,22180652254.0000,1100
2018,1,ALT,33310250000.0000,1200
2018,1,ALT,33209840744.0000,1300
2018,1,ALT,30557304327.0000,1400
2018,1,ALT,16143986092.0000,3100
2018,1,ALT,210020417058.0000,4100
2018,1,ALT,61725230000.0000,4110
2018,1,ALV,5251647647.0000,10
2018,1,ALV,5405819562.0000,21
2018,1,ALV,-154171915.0000,30
2018,1,ALV,1700575910.0000,70
2018,1,ALV,1709972431.0000,72
2018,1,ALV,12658682046.0000,1100
2018,1,ALV,69412147899.0000,1300
2018,1,ALV,26223493562.0000,1400
2018,1,ALV,72975787589.0000,3100
2018,1,ALV,66802564669.0000,4100
2018,1,ALV,56579360000.0000,4110
2018,1,AMC,35605646232.0000,10
2018,1,AMC,20180370993.0000,21
2018,1,AMC,15425275239.0000,30
2018,1,AMC,2513224688.0000,70
2018,1,AMC,2513224688.0000,72
2018,1,AMC,2289332001.0000,1100
2018,1,AMC,26050498510.0000,1300
2018,1,AMC,8292542665.0000,1400
2018,1,AMC,49046152757.0000,3100
2018,1,AMC,41516599483.0000,4100
2018,1,AMC,28500000000.0000,4110
2018,1,AMD,493481212904.0000,10
2018,1,AMD,472653187312.0000,21
2018,1,AMD,20828025592.0000,30
2018,1,AMD,7665484014.0000,70
2018,1,AMD,7456818127.0000,72
2018,1,AMD,25844373448.0000,1100
2018,1,AMD,13438515663.0000,1200
2018,1,AMD,1438664639854.0000,1300
2018,1,AMD,166518823942.0000,1400
